[10:38:01 | Mate] :: hello
[10:38:14 | Mate] :: is anyone out there?
[10:39:02 | Sime] :: heyy, I'm here
[10:39:19 | Mate] :: ok, cool
[10:39:27 | Mate] :: shutting down the server then!
[10:39:29 | Mate] :: bye
[10:39:36 | Sime] :: noo..
[22:01:35 | Mate] :: yo yo im trying to save all data
[22:02:11 | Mate] :: by shutting down the server
[22:08:18 | Mate] :: yo yo test again
[22:13:52 | Mate] :: yo yo guys
[22:13:59 | Mate] :: testing again
[22:16:11 | Mate] :: yo yo
[22:16:13 | Jure] :: yo
[22:16:21 | Mate] :: lets kill the server
[22:16:29 | Mate] :: SHUTDOWN
[22:16:37 | Mate] :: forgot the !
